,Movie Name,Rating
0,Doctor Strange,8.0
1,Arrival,8.4
2,Hacksaw Ridge,8.7
3,Trolls,6.7
4,Fantastic Beasts and Where to Find Them,8.0
5,Sausage Party,6.5
6,The Accountant,7.6
7,Star Trek Beyond,7.2
8,Miss Peregrine's Home for Peculiar Children,7.0
9,Rogue One: A Star Wars Story,0
10,War Dogs,7.2
11,Suicide Squad,6.6
12,Nocturnal Animals,8.0
13,Hell or High Water,7.9
14,Inferno,6.4
15,Ouija: Origin of Evil,6.3
16,The Girl on the Train,6.7
17,Jack Reacher: Never Go Back,6.3
18,Bad Moms,6.3
19,X-Men: Apocalypse,7.2
20,Kubo and the Two Strings,8.1
21,The Secret Life of Pets,6.7
22,La La Land,8.6
23,Billy Lynn's Long Halftime Walk,7.3
24,Captain Fantastic,8.0
25,Shut In,4.8
26,Collateral Beauty,0
27,Office Christmas Party,0
28,Don't Breathe,7.3
29,The Legend of Tarzan,6.4
30,Ghostbusters,5.4
31,Deadpool,8.1
32,Passengers,0
33,Nerve,6.7
34,Moonlight,8.7
35,Jason Bourne,6.8
36,Finding Dory,7.6
37,Zootopia,8.1
38,Captain America: Civil War,8.0
39,Hands of Stone,6.6
40,True Memoirs of an International Assassin,6.0
41,The Edge of Seventeen,8.0
42,Bridget Jones's Baby,7.1
43,Independence Day: Resurgence,5.3
44,Almost Christmas,6.4
45,The Infiltrator,7.1
46,Bleed for This,6.5
47,How to Be Single,6.1
48,Anthropoid,7.3
49,Sing,7.1
50,Warcraft,7.1
51,Allied,0
52,Boo! A Madea Halloween,4.6
53,Me Before You,7.5
54,Ae Dil Hai Mushkil,5.7
55,Split,7.9
56,Batman v Superman: Dawn of Justice,6.8
57,Lights Out,6.4
58,The Neon Demon,6.4
59,Keeping Up with the Joneses,5.8
60,Mike and Dave Need Wedding Dates,6.1
61,The BFG,6.6
62,Elle,7.3
63,Moana,8.4
64,The Monster,5.4
65,The Nice Guys,7.4
66,The Magnificent Seven,7.1
67,Manchester by the Sea,8.5
68,Assassin's Creed,0
69,Mr. Church,7.7
70,Deepwater Horizon,7.5
71,Gods of Egypt,5.5
72,Fallen,6.9
73,Come and Find Me,5.9
74,Central Intelligence,6.4
