,Movie Name,Rating
0,Solace,6.4
1,Man Down,6.4
2,Star Wars: The Force Awakens,8.2
3,The Revenant,8.0
4,The Hateful Eight,7.9
5,The Big Short,7.8
6,Joy,6.6
7,Sicario,7.6
8,Mad Max: Fury Road,8.1
9,The Martian,8.0
10,Spectre,6.8
11,Krampus,6.2
12,Avengers: Age of Ultron,7.5
13,Room,8.2
14,Fifty Shades of Grey,4.1
15,Spotlight,8.1
16,Ex Machina,7.7
17,Jurassic World,7.0
18,The Danish Girl,7.0
19,Mr. Right,6.3
20,The Man from U.N.C.L.E.,7.3
21,The Hunger Games: Mockingjay - Part 2,6.6
22,Black Mass,6.9
23,Love,6.0
24,The VVitch: A New-England Folktale,6.7
25,The Lobster,7.1
26,Ant-Man,7.4
27,Furious 7,7.2
28,Cinderella,7.0
29,Knock Knock,4.9
30,Mission: Impossible - Rogue Nation,7.4
31,Inside Out,8.2
32,Eye in the Sky,7.3
33,Brooklyn,7.5
34,Bridge of Spies,7.6
35,The Intern,7.1
36,Sisters,6.0
37,Green Room,7.1
38,Desierto,5.8
39,Legend,7.0
40,Terminator Genisys,6.5
41,In the Heart of the Sea,6.9
42,Jupiter Ascending,5.4
43,Southpaw,7.4
44,Equals,6.1
45,Straight Outta Compton,7.9
46,Goosebumps,6.3
47,400 Days,4.5
48,Steve Jobs,7.2
49,The Invitation,6.7
50,Spy,7.1
51,Demolition,7.0
52,Creed,7.7
53,Point Break,5.3
54,Pitch Perfect 2,6.5
55,Everest,7.1
56,Maze Runner: The Scorch Trials,6.4
57,Crimson Peak,6.6
58,Colonia,7.1
59,Trainwreck,6.3
60,The Age of Adaline,7.2
61,The Man Who Knew Infinity,7.2
62,Youth,7.4
63,Carol,7.2
64,Tomorrowland,6.5
65,The Gift,7.1
66,Hardcore Henry,6.8
67,Insurgent,6.3
68,High-Rise,5.7
69,Pan,5.8
70,Évolution,6.2
71,The Sea of Trees,5.7
72,The Last Witch Hunter,6.0
73,San Andreas,6.1
74,Into the Forest,6.0
75,Hitman: Agent 47,5.7
76,Focus,6.6
77,Pixels,5.6
78,By the Sea,5.3
79,Concussion,7.1
80,The Visit,6.2
81,Bone Tomahawk,7.1
82,Fantastic Four,4.3
83,Knight of Cups,5.7
84,Poltergeist,5.0
85,The Longest Ride,7.1
86,Vacation,6.1
87,Victor Frankenstein,6.0
88,The Dressmaker,7.1
89,The Good Dinosaur,6.8
90,The DUFF,6.5
91,En man som heter Ove,7.6
92,Ted 2,6.4
93,Minions,6.4
94,Paper Towns,6.4
95,The Ridiculous 6,4.9
96,The Unspoken,4.9
97,Scouts Guide to the Zombie Apocalypse,6.3
98,A Bigger Splash,6.4
99,We Are Your Friends,6.1
100,Dope,7.3
101,The Night Before,6.5
102,Burnt,6.6
103,Insidious: Chapter 3,6.1
104,Muhammad: The Messenger of God,8.1
105,Magic Mike XXL,5.7
106,Fathers & Daughters,7.1
107,Home,6.7
108,Hotel Transylvania 2,6.7
109,The Bronze,6.0
110,Macbeth,6.7
111,Chappie,6.9
112,Entourage,6.6
113,No Escape,6.8
114,Daddy's Home,6.1
115,The Little Prince,7.8
116,Self/less,6.5
117,Child 44,6.5
118,Regression,5.7
119,Trumbo,7.5
120,The Transporter Refueled,5.1
121,Irrational Man,6.6
122,Me and Earl and the Dying Girl,7.8
123,The Walk,7.4
124,Sleeping with Other People,6.5
125,The Stanford Prison Experiment,6.9
126,Suffragette,6.9
127,Maggie's Plan,6.3
128,Aloha,5.4
129,Heist,6.1
130,Jem and the Holograms,4.0
131,MI-5,6.2
132,Secret in Their Eyes,6.2
133,American Ultra,6.1
134,Palmeras en la nieve,7.3
135,Adulterers,4.9
136,Dark Places,6.2
137,The 33,6.9
138,Er ist wieder da,7.1
139,Blackhat,5.4
140,Anomalisa,7.3
141,Henry Gamble's Birthday Party,5.7
142,True Story,6.3
143,Already Tomorrow in Hong Kong,6.5
144,Street,4.6
145,Emelie,5.4
146,Far from the Madding Crowd,7.1
147,Woman in Gold,7.3
148,Get Hard,6.1
149,Z for Zachariah,6.0
150,Under sandet,7.8
151,A Girl Like Her,7.1
152,Victoria,7.7
153,Careful What You Wish For,5.6
154,Forsaken,6.3
155,Beasts of No Nation,7.8
156,Blackway,5.1
157,The Diary of a Teenage Girl,6.9
158,The Boy Next Door,4.6
159,Love the Coopers,5.7
160,Dead Rising: Watchtower,5.2
161,Sorgenfri,5.8
162,The Blackcoat's Daughter,5.3
163,The Shelter,4.6
164,Sinister 2,5.3
165,The Wedding Ringer,6.7
166,Man Up,6.8
167,Barely Lethal,5.3
168,The Ones Below,6.1
169,"Hello, My Name Is Doris",6.7
170,Santa's Little Helper,5.0
171,Paranormal Activity: The Ghost Dimension,4.6
172,Fourth Man Out,6.7
173,Tale of Tales,6.4
174,Absolutely Anything,6.0
175,The Meddler,6.3
176,Ithaca,5.7
177,Freaks of Nature,5.9
178,Capsule,6.7
179,"McFarland, USA",7.4
180,The Final Girls,6.6
181,Saul fia,7.5
182,Remember,7.4
183,Alvin and the Chipmunks: The Road Chip,5.1
184,Our Brand Is Crisis,6.1
185,Run All Night,6.6
186,The Peanuts Movie,7.1
187,American Poltergeist,2.6
188,Truth,6.8
189,Intruders,5.7
190,Louder Than Bombs,6.6
191,Mr. Holmes,6.9
192,Backtrack,5.9
193,Last Knights,6.2
194,Project Almanac,6.4
195,"Un peu, beaucoup, aveuglément!",6.5
196,In the Room,4.8
197,The Lady in the Van,6.7
198,Mortdecai,5.5
199,Hyena Road,6.5
200,A Royal Night Out,6.5
201,Reparation,6.5
202,Every Thing Will Be Fine,5.5
203,Hoovey,5.4
204,Survivor,5.6
205,45 Years,7.1
206,The Perfect Guy,5.5
207,Maggie,5.6
208,Turbo Kid,6.7
209,Bølgen,6.7
210,Being Charlie,6.3
211,Sun Choke,6.4
212,Martyrs,4.0
213,Wild Card,5.6
214,Cat Sick Blues,5.4
215,Crushed,4.8
216,A Walk in the Woods,6.3
217,Le tout nouveau testament,7.2
218,Lost Boy,4.7
219,Yip Man 3,7.1
220,Bang Gang (une histoire d'amour moderne),5.6
