,Name,Score
0,Zootopia ,98
1,Hell or High Water ,98
2,The Jungle Book ,95
3,Love & Friendship ,98
4,Finding Dory ,94
5,Moonlight ,98
6,Kubo and the Two Strings ,97
7,Hunt for the Wilderpeople ,98
8,Captain America: Civil War ,90
9,Sing Street ,97
10,Don't Think Twice ,99
11,Embrace Of The Serpent ,98
12,The Nice Guys ,92
13,Eye In The Sky ,95
14,Little Men ,98
15,The Witch ,91
16,Arrival ,93
17,Only Yesterday ,100
18,Weiner ,96
19,Cameraperson ,100
20,Tower ,100
21,Things to Come ,100
22,10 Cloverfield Lane ,90
23,Doctor Strange ,90
24,Under The Shadow ,98
25,The Wailing ,98
26,Marguerite ,96
27,Cemetery of Splendor ,97
28,April and the Extraordinary World ,98
29,De Palma ,96
30,Dark Horse ,97
31,Manchester by the Sea ,98
32,The Fits ,97
33,Aferim! ,98
34,Almost Holy ,98
35,The Dark Horse ,97
36,Krisha ,97
37,Green Room ,91
38,The Handmaiden ,94
39,Rams ,95
40,Tickled ,95
41,Train to Busan ,96
42,The Innocents ,95
43,The Beatles: Eight Days a Week - The Touring Years ,95
44,La La Land ,96
45,13th ,96
46,The Lobster ,90
47,Aquarius ,96
48,Gleason ,96
49,Queen of Katwe ,92
50,"Hail, Caesar! ",85
51,Gimme Danger ,95
52,Southside With You ,92
53,Our Little Sister ,93
54,"Life, Animated ",94
55,Miss Hokusai ,95
56,Nuts! ,95
57,The Little Prince ,93
58,"Lo and Behold, Reveries of the Connected World ",92
59,A Bigger Splash ,90
60,Deadpool ,84
61,Elle ,92
62,Everybody Wants Some!! ,87
63,The Last Man On The Moon ,93
64,Star Trek Beyond ,84
65,Don't Breathe ,87
66,A War ,91
67,Fire at Sea ,92
68,Pete's Dragon ,86
69,The Measure of a Man ,92
70,Demon ,92
71,Barbershop: The Next Cut ,90
72,Florence Foster Jenkins ,86
73,Kung Fu Panda 3 ,87
74,Dheepan ,89
75,Eat That Question: Frank Zappa in His Own Words ,91
76,City Of Gold ,91
77,Summertime ,91
78,Certain Women ,89
79,The Clan ,90
80,The Eagle Huntress ,91
81,A Man Called Ove ,91
82,Loving ,88
83,Hacksaw Ridge ,86
84,"I, Daniel Blake ",90
85,Sully ,83
86,Midnight Special ,84
87,Born To Be Blue ,88
88,Morris from America ,89
89,The Witness ,90
90,Microbe and Gasoline ,90
91,Blood Father ,89
92,The Invitation ,88
93,Deepwater Horizon ,83
94,The Boy And The Beast ,89
95,The Childhood of a Leader ,89
96,Maggie's Plan ,85
97,Mountains May Depart ,89
98,Mia Madre ,88
99,Zero Days ,89
