,Movie Name,Rating
0,The Wolf of Wall Street,8.2
1,The Butler,7.2
2,Prisoners,8.1
3,Now You See Me,7.3
4,12 Years a Slave,8.1
5,Star Trek Into Darkness,7.8
6,The Great Gatsby,7.3
7,Frozen,7.6
8,The Conjuring,7.5
9,Thor: The Dark World,7.1
10,Grown Ups 2,5.4
11,About Time,7.8
12,Nymphomaniac: Vol. I,7.0
13,Her,8.0
14,The Purge,5.7
15,Lone Survivor,7.6
16,Man of Steel,7.1
17,American Hustle,7.3
18,Pacific Rim,7.0
19,We're the Millers,7.0
20,The Hobbit: The Desolation of Smaug,7.9
21,Enemy,6.9
22,Blue Is the Warmest Color,7.8
23,Iron Man Three,7.2
24,Beautiful Creatures,6.2
25,This Is the End,6.7
26,Furious 6,7.1
27,Rush,8.1
28,Olympus Has Fallen,6.5
29,Evil Dead,6.5
30,The Mortal Instruments: City of Bones,6.0
31,Snowpiercer,7.0
32,White House Down,6.4
33,World War Z,7.0
34,Ender's Game,6.7
35,The Wolverine,6.7
36,The Hunger Games: Catching Fire,7.6
37,Oblivion,7.0
38,Safe Haven,6.7
39,Kick-Ass 2,6.6
40,Dallas Buyers Club,8.0
41,Warm Bodies,6.9
42,Gravity,7.8
43,Movie 43,4.3
44,Begin Again,7.4
45,The Secret Life of Walter Mitty,7.3
46,Only Lovers Left Alive,7.3
47,Under the Skin,6.3
48,The World's End,7.0
49,The Spectacular Now,7.1
50,Elysium,6.6
51,Nymphomaniac: Vol. II,6.7
52,Percy Jackson: Sea of Monsters,5.9
53,Locke,7.1
54,Riddick,6.4
55,RED 2,6.7
56,Filth,7.1
57,Gangster Squad,6.7
58,The Green Inferno,5.4
59,Don Jon,6.6
60,Oculus,6.5
61,47 Ronin,6.3
62,Anchorman 2: The Legend Continues,6.3
63,The Book Thief,7.6
64,Captain Phillips,7.9
65,Monsters University,7.3
66,The Way Way Back,7.4
67,Hansel & Gretel: Witch Hunters,6.1
68,The Counselor,5.3
69,Escape Plan,6.7
70,Carrie,5.9
71,The Lone Ranger,6.5
72,Oz the Great and Powerful,6.4
73,Dead Man Down,6.5
74,Pain & Gain,6.5
75,The Fifth Estate,6.2
76,Oldboy,5.8
77,G.I. Joe: Retaliation,5.8
78,Parker,6.2
79,Homefront,6.5
80,Saving Mr. Banks,7.5
81,What If,6.8
82,Trance,7.0
83,2 Guns,6.7
84,Inside Llewyn Davis,7.4
85,The Best Offer,7.8
86,Labor Day,6.9
87,Stoker,6.8
88,Only God Forgives,5.7
89,Mama,6.2
90,August: Osage County,7.3
91,Machete Kills,5.6
92,Coherence,7.2
93,Blue Jasmine,7.3
94,The Heat,6.6
95,The Internship,6.3
96,Despicable Me 2,7.5
97,Third Person,6.4
98,Short Term 12,8.0
99,Jack the Giant Slayer,6.3
100,The Host,5.9
101,Out of the Furnace,6.8
102,Insidious: Chapter 2,6.6
103,Side Effects,7.1
104,The Family,6.3
105,After Earth,4.9
106,Kill Your Darlings,6.5
107,A Good Day to Die Hard,5.3
108,La grande bellezza,7.7
109,Adoration,6.2
110,The Double,6.5
111,The Croods,7.3
112,Before Midnight,7.9
113,Jobs,5.9
114,Dark Skies,6.3
115,Texas Chainsaw 3D,4.8
116,Odd Thomas,6.9
117,R.I.P.D.,5.6
118,Lovelace,6.2
119,21 & Over,5.9
120,The Girl on the Train,4.4
121,Horns,6.5
122,Romeo & Juliet,5.8
123,Charlie Countryman,6.4
124,The Last Stand,6.4
125,Paranoia,5.7
126,The Call,6.7
127,Epic,6.7
128,The Bling Ring,5.6
129,The Zero Theorem,6.1
130,The Hangover Part III,5.9
131,All Hallows' Eve,4.9
132,Young & Beautiful,6.8
133,The Kings of Summer,7.2
134,Blue Ruin,7.1
135,42,7.5
136,The Immigrant,6.6
137,Anna,6.5
138,Broken City,6.2
139,Curse of Chucky,5.6
140,Starred Up,7.4
141,The Grand Seduction,7.0
142,Snitch,6.5
143,Palo Alto,6.3
144,The Physician,7.2
145,Delivery Man,6.4
146,Runner Runner,5.6
147,Very Good Girls,6.0
148,The Canyons,3.9
149,Scary Movie 5,3.5
150,Redemption,6.2
151,The Big Wedding,5.6
152,Blood Ties,6.5
153,Belle,7.4
154,Upstream Color,6.8
155,Adult World,6.2
156,Koto no ha no niwa,7.6
157,Europa Report,6.5
158,The To Do List,5.8
159,Diana,5.5
160,Devil's Knot,6.1
161,The Smurfs 2,5.4
162,Last Vegas,6.6
163,Grudge Match,6.4
164,Kvinden i buret,7.2
165,I Give It a Year,5.7
166,Zulu,6.7
167,Temptation: Confessions of a Marriage Counselor,4.9
168,Bad Grandpa,6.6
169,The Machine,6.1
170,Turbo,6.5
171,The Railway Man,7.1
172,Nebraska,7.7
173,The Lifeguard,5.7
174,Fruitvale Station,7.5
175,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,7.1
176,Identity Thief,5.7
177,Kaze tachinu,7.8
178,All Is Lost,6.9
179,Devil's Pass,5.7
180,Killing Season,5.4
181,Drinking Buddies,6.1
182,How I Live Now,6.5
183,Philomena,7.6
184,Welcome to the Punch,6.1
185,The Colony,5.3
186,The Incredible Burt Wonderstone,5.9
187,The Invisible Woman,6.1
188,Pionér,6.0
189,After the Dark,5.7
190,La Vénus à la fourrure,7.2
191,The Frozen Ground,6.4
192,Cloudy with a Chance of Meatballs 2,6.5
193,Breathe In,6.4
194,Admission,5.7
195,Are You Here,5.3
196,Joe,6.9
197,A Teacher,4.8
198,Tracks,7.2
199,Ida,7.4
200,Ida,7.4
201,I Spit on Your Grave 2,5.7
202,The Last Days on Mars,5.5
203,Tarzan,4.8
204,Feuchtgebiete,5.8
205,Drishyam,8.9
206,Man of Tai Chi,6.1
207,Dom Hemingway,6.2
208,G.B.F.,6.0
209,Planes,5.8
210,Getaway,4.4
211,A Madea Christmas,4.7
212,Closed Circuit,6.2
213,Freier Fall,7.6
214,The Lunchbox,7.8
215,All Cheerleaders Die,5.1
216,The Christmas Candle,5.8
217,Empire State,5.2
218,Life of Crime,5.8
219,Jimi: All Is by My Side,5.6
220,Hours,6.5
