,Name,Score
0,Mad Max: Fury Road ,97
1,Inside Out ,98
2,Selma ,99
3,Spotlight ,96
4,Star Wars: Episode VII - The Force Awakens ,92
5,Brooklyn ,97
6,It Follows ,97
7,Shaun the Sheep Movie ,99
8,The Martian ,92
9,Room ,94
10,Mission: Impossible Rogue Nation ,93
11,Creed ,94
12,Carol ,94
13,Son of Saul ,96
14,45 Years ,97
15,Paddington ,98
16,Timbuktu ,99
17,Sicario ,94
18,Spy ,94
19,Mustang ,98
20,GETT: The Trial of Viviane Amsalem ,100
21,Amy ,95
22,Phoenix ,98
23,Seymour: An Introduction ,100
24,Ex Machina ,93
25,Tangerine ,97
26,What We Do In The Shadows ,96
27,Ingrid Bergman in Her Own Words ,100
28,About Elly ,99
29,Bridge of Spies ,91
30,Iris ,98
31,Kurt Cobain: Montage Of Heck ,98
32,Anomalisa ,92
33,'71 ,96
34,The Look of Silence ,96
35,Red Army ,97
36,Listen To Me Marlon ,97
37,Wild Tales ,95
38,Heart of a Dog ,97
39,Finders Keepers ,98
40,Jafar Panahi's Taxi ,96
41,Theeb ,97
42,The Gift ,93
43,Hitchcock/Truffaut ,95
44,The Big Short ,88
45,The Second Mother ,96
46,Girlhood ,96
47,Love & Mercy ,91
48,The Diary Of A Teenage Girl ,93
49,The Salt of the Earth ,95
50,Best Of Enemies ,94
51,Grandma ,92
52,Appropriate Behavior ,96
53,Boy and the World ,96
54,Slow West ,93
55,99 Homes ,92
56,Going Clear: Scientology and the Prison of Belief ,94
57,The Wonders ,95
58,The Forbidden Room ,95
59,A Most Violent Year ,89
60,Steve Jobs ,86
61,Beasts of No Nation ,92
62,The End Of The Tour ,91
63,We Are Still Here ,95
64,The Wrecking Crew ,94
65,The Duke Of Burgundy ,93
66,I'll See You in My Dreams ,93
67,The Lady In The Van ,91
68,Monkey Kingdom ,94
69,Black Souls ,94
70,Güeros ,94
71,The Hunting Ground ,93
72,Janis: Little Girl Blue ,93
73,When Marnie Was There ,92
74,Straight Outta Compton ,87
75,The Black Panthers: Vanguard Of The Revolution ,93
76,Clouds of Sils Maria ,89
77,Still Alice ,88
78,Queen of Earth ,92
79,The Revenant ,82
80,Breathe ,93
81,Dope ,89
82,Mr. Holmes ,88
83,Trainwreck ,85
84,Peggy Guggenheim: Art Addict ,93
85,The Peanuts Movie ,87
86,Mommy ,89
87,James White ,91
88,The Walk ,84
89,Mississippi Grind ,89
90,Sunshine Superman ,91
91,Bone Tomahawk ,90
92,Coming Home ,90
93,White God ,89
94,Cartel Land ,89
95,Far From the Madding Crowd ,86
96,The Tribe ,88
97,A Pigeon Sat on a Branch Reflecting on Existence ,89
98,Ant-Man ,81
99,"Kumiko, the Treasure Hunter ",87
