,Movie Name,Rating
0,Jack Reacher,7.0
1,The Hunger Games,7.3
2,The Dark Knight Rises,8.5
3,Django Unchained,8.4
4,Les Misérables,7.6
5,The Perks of Being a Wallflower,8.0
6,The Avengers,8.1
7,Snow White and the Huntsman,6.1
8,The Place Beyond the Pines,7.3
9,Prometheus,7.0
10,Moonrise Kingdom,7.8
11,The Twilight Saga: Breaking Dawn - Part 2,5.5
12,The Hobbit: An Unexpected Journey,7.9
13,Pitch Perfect,7.2
14,Silver Linings Playbook,7.8
15,Lawless,7.3
16,Cloud Atlas,7.5
17,Skyfall,7.8
18,Looper,7.4
19,Battleship,5.9
20,Magic Mike,6.1
21,Jagten,8.3
22,Wreck-It Ralph,7.8
23,The Vow,6.8
24,Argo,7.7
25,The Amazing Spider-Man,7.0
26,Spring Breakers,5.3
27,Dag,8.3
28,John Carter,6.6
29,Flight,7.3
30,Lincoln,7.4
31,Dredd,7.1
32,Dark Shadows,6.2
33,The Cabin in the Woods,7.0
34,21 Jump Street,7.2
35,Zero Dark Thirty,7.4
36,Life of Pi,8.0
37,Anna Karenina,6.6
38,The Impossible,7.6
39,Total Recall,6.3
40,End of Watch,7.7
41,Underworld: Awakening,6.4
42,The Bourne Legacy,6.7
43,That's My Boy,5.6
44,Red Dawn,5.4
45,The Master,7.1
46,Sinister,6.8
47,Project X,6.7
48,Seven Psychopaths,7.2
49,Stuck in Love,7.3
50,Ted,7.0
51,Brave,7.2
52,Rise of the Guardians,7.3
53,The Lucky One,6.5
54,The First Time,7.0
55,Red Tails,5.9
56,American Reunion,6.7
57,The Dictator,6.4
58,Here Comes the Boom,6.4
59,Savages,6.5
60,Chronicle,7.1
61,Hotel Transylvania,7.1
62,The Iceman,6.9
63,Men in Black 3,6.8
64,The Raven,6.4
65,Rock of Ages,5.9
66,This Means War,6.3
67,Mud,7.4
68,Rust and Bone,7.5
69,ParaNorman,7.0
70,This Is 40,6.2
71,On the Road,6.1
72,Safe House,6.8
73,Ice Age: Continental Drift,6.6
74,House at the End of the Street,5.6
75,The Expendables 2,6.7
76,Trouble with the Curve,6.8
77,Would You Rather,5.8
78,The Possession,5.9
79,Journey 2: The Mysterious Island,5.8
80,Resident Evil: Retribution,5.4
81,Wrath of the Titans,5.8
82,Silent Hill: Revelation 3D,5.0
83,Abraham Lincoln: Vampire Hunter,5.9
84,Wanderlust,5.6
85,V/H/S,5.8
86,A Royal Affair,7.6
87,The Three Stooges,5.1
88,Upside Down,6.4
89,The Woman in Black,6.4
90,Mirror Mirror,5.6
91,To the Wonder,5.9
92,Step Up Revolution,6.5
93,The Man with the Iron Fists,5.4
94,What to Expect When You're Expecting,5.7
95,Get the Gringo,7.0
96,The Five-Year Engagement,6.2
97,LOL,4.3
98,Seeking a Friend for the End of the World,6.7
99,The Campaign,6.2
100,Safe,6.5
101,Taken 2,6.3
102,Act of Valor,6.5
103,Ruby Sparks,7.2
104,Bachelorette,5.3
105,Killing Them Softly,6.2
106,Hitchcock,6.8
107,The Lorax,6.5
108,Passion,5.3
109,The Paperboy,5.8
110,The Watch,5.7
111,The Baytown Outlaws,6.3
112,Think Like a Man,6.6
113,Byzantium,6.5
114,Maniac,6.1
115,Bullet to the Head,5.7
116,The Broken Circle Breakdown,7.8
117,To Rome with Love,6.3
118,Frances Ha,7.4
119,Chasing Mavericks,7.2
120,The Words,7.1
121,Amour,7.9
122,Disconnect,7.6
123,The Pirates! Band of Misfits,6.7
124,One for the Money,5.3
125,Contraband,6.5
126,Excision,6.1
127,The Body,7.5
128,Safety Not Guaranteed,7.0
129,Red Lights,6.2
130,Iron Sky,5.9
131,The Odd Life of Timothy Green,6.6
132,Stolen,5.5
133,Frankenweenie,7.0
134,The Company You Keep,6.4
135,Madagascar 3: Europe's Most Wanted,6.9
136,A Perfect Ending,5.9
137,Man on a Ledge,6.6
138,Lockout,6.1
139,Promised Land,6.6
140,Joyful Noise,5.7
141,The Samaritan,5.6
142,Great Expectations,6.4
143,ATM,4.7
144,The Brass Teapot,6.4
145,Chernobyl Diaries,5.0
146,Playing for Keeps,5.7
147,People Like Us,7.1
148,Premium Rush,6.5
149,Hit and Run,6.1
150,Piranha 3DD,3.8
151,The Lords of Salem,5.1
152,Dark Blood,6.7
153,American Mary,6.3
154,The Cold Light of Day,4.9
