,Name,Score
0,Boyhood ,98
1,The Babadook ,98
2,Mr. Turner ,98
3,The LEGO Movie ,96
4,Whiplash ,94
5,Life Itself ,97
6,Nightcrawler ,95
7,Leviathan ,99
8,Gloria ,99
9,Snowpiercer ,95
10,"Two Days, One Night ",97
11,The Tale of the Princess Kaguya ,100
12,Starred Up ,99
13,The Grand Budapest Hotel ,92
14,Live Die Repeat: Edge of Tomorrow ,91
15,Guardians of the Galaxy ,91
16,X-Men: Days of Future Past ,91
17,Birdman ,91
18,Jodorowsky's Dune ,98
19,The Missing Picture ,99
20,Song Of The Sea ,99
21,Ida ,96
22,We Are the Best! ,97
23,Love Is Strange ,95
24,Dawn Of The Planet Of The Apes ,90
25,Citizenfour ,96
26,Ilo Ilo ,100
27,Blue Ruin ,96
28,Gone Girl ,88
29,The Overnighters ,98
30,Elaine Stritch: Shoot Me ,98
31,Wild ,90
32,The Imitation Game ,90
33,Ernest & Célestine ,97
34,The Lunchbox ,96
35,Captain America: The Winter Soldier ,89
36,A Summer's Tale ,98
37,A Girl Walks Home Alone at Night ,95
38,Locke ,91
39,How to Train Your Dragon 2 ,92
40,Finding Vivian Maier ,95
41,Force Majeure ,93
42,"20,000 Days on Earth ",95
43,The Rocket ,96
44,Particle Fever ,96
45,Manakamana ,96
46,The Last of the Unjust ,96
47,National Gallery ,95
48,Last Days in Vietnam ,95
49,Foxcatcher ,88
50,Pride ,92
51,Frank ,91
52,Big Hero 6 ,89
53,The Dance of Reality ,95
54,The Drop ,89
55,Stranger by the Lake ,93
56,Child's Pose ,93
57,The Normal Heart ,94
58,In Bloom ,94
59,Dear White People ,91
60,Calvary ,89
61,The Internet's Own Boy: The Story of Aaron Swartz ,93
62,Obvious Child ,89
63,Le Week-End ,89
64,The Wind Rises ,88
65,A Most Wanted Man ,87
66,Diplomacy ,93
67,The Guest ,90
68,Under the Skin ,85
69,Tim's Vermeer ,89
70,Venus in Fur ,89
71,Omar ,90
72,Mistaken for Strangers ,91
73,Chef ,86
74,The Dog ,91
75,Top Five ,86
76,Only Lovers Left Alive ,86
77,12 O'clock Boys ,91
78,John Wick ,85
79,Art and Craft ,91
80,To Be Takei ,91
81,22 Jump Street ,84
82,Joe ,87
83,The Skeleton Twins ,86
84,Night Moves ,86
85,Cheap Thrills ,88
86,The Kill Team ,90
87,The Immigrant ,87
88,The Good Lie ,88
89,Bears ,89
90,Coherence ,88
91,Winter Sleep ,88
92,Alan Partridge ,87
93,The Blue Room ,88
94,Wetlands ,89
95,"Like Father, Like Son ",87
96,Cold in July ,86
97,The Trip To Italy ,85
98,A Field in England ,87
99,The Fault In Our Stars ,81
