movie_name,duration,gross,budget,facebook_likes,average_rating,sentiment_score,nominated
The Cabin in the Woods,95,42043633,30000000,66000,81,49.51235856,0
Love Is Strange,94,2252580,1193867.4,5829,81,66.57809766,0
Side Effects,106,32154410,30000000,29000,77,52.1513628,0
The Imitation Game,114,91121452,14000000,165000,86,45.05187845,1
The Sessions,95,5997134,1000000,11000,83,55.09228141,0
Computer Chess,92,102041,54081.73,727,75,52.07474081,0
Short Term 12,96,1013100,536943,50268,90,53.25512969,0
Frozen,102,400736600,150000000,58000,83,52.91028845,0
John Wick,101,42996986,22788402.58,680122,79,59.79562333,0
Life of Pi,127,124976634,120000000,122000,84,62.84996448,1
Barbara,105,3100000,1643000,771,83,57.02422779,0
Pride,120,1446634,766716.02,24196,85,53.79754085,0
"Farewell, My Queen",100,5000000,7500000,593,78,62.21407625,0
Robot & Frank,89,3325638,2500000,13000,79,54.90635739,0
Arbitrage,107,7918283,12000000,15662,76,67.41683766,0
Fruitvale Station,85,16097842,900000,17000,85,51.60371855,0
Dear White People,100,4404154,2334201.62,384995,77,51.54675981,0
A Most Wanted Man,122,17237244,15000000,13000,78,66.30952831,0
Star Trek Into Darkness,132,228756232,190000000,92000,82,60.88191377,0
We Are What We Are,100,81381,43131.93,66089,72,61.12506185,0
Enough Said,93,17536788,8000000,12000,84,51.26351477,0
Her,126,25556065,23000000,148000,88,55.59147375,1
Nightcrawler,117,32279955,8500000,65000,87,57.15720241,0
Seven Psychopaths,110,14989761,15000000,52000,77,83.75,0
Wild,115,37877959,15000000,38000,81,55.71643149,0
The Conjuring,112,137387272,20000000,131000,81,54.10077982,0
Obvious Child,84,3122616,1654986.48,54119,79,52.62266707,0
Skyfall,143,304360277,200000000,80000,86,60.09196476,0
22 Jump Street,112,191616238,50000000,24000,78,61.46098682,0
The Drop,106,10720322,5681770.66,60491,80,54.62409308,0
The Dark Knight Rises,164,448130642,250000000,164000,86,47.63032493,0
End of Watch,109,40983001,7000000,38000,81,58.36148548,0
Magic Mike,110,113709992,7000000,54000,71,68.40991638,0
Middle of Nowhere,97,78030,200000,569,76,52.36441166,0
Whiplash,107,13092000,3300000,129000,90,55.14749086,1
The Hunger Games,142,407999255,78000000,140000,79,59.99092525,0
ParaNorman,92,55994557,60000000,12000,79,58.84642766,0
Lincoln,150,182204440,65000000,71000,82,58.73150424,1
Upstream Color,96,444098,235371.94,14644,77,57.32540608,0
Holy Motors,115,4200000,4000000,12000,81,53.21018062,0
The Skeleton Twins,93,5283379,2800190.87,41865,77,63.91680283,0
Zero Dark Thirty,157,132800000,40000000,266092,83,50.47404758,1
Les Miserables,158,441800000,61000000,20047,72.5,59.4354198,1
American Sniper,132,547400000,580000000,2387575,72.5,54.59065907,1
Selma,128,66787908,20000000,290466,87,56.62954576,1
Birdman,119,103215094,18000000,340726,84.5,58.78968939,1
The Theory of Everything,123,123700000,15000000,732313,78,58.85583937,1
